Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2019-07-30,0.0597542893,0.0605592703,0.0614478756,0.0587274796
ADA,2019-07-31,0.0597534929,0.0597555618,0.0610946313,0.0591667618
ADA,2019-08-01,0.0589046381,0.0597511222,0.0603850512,0.0578972134
ADA,2019-08-02,0.0575785402,0.0589083839,0.0589357058,0.0561218864
ADA,2019-08-03,0.0576122086,0.0575794961,0.0583165738,0.0568991082
ADA,2019-08-04,0.0562809633,0.0576114581,0.0583952817,0.0560289428
ADA,2019-08-05,0.0568962821,0.0562928961,0.0584273974,0.056087948
ADA,2019-08-06,0.0531570466,0.0568987342,0.0568997994,0.0529487074
ADA,2019-08-07,0.0516733788,0.0531651683,0.05420072,0.0512331907
ADA,2019-08-08,0.0518084017,0.0516719412,0.0531869854,0.0503557502
ADA,2019-08-09,0.0474117656,0.0518118709,0.0525325525,0.0472823924
ADA,2019-08-10,0.0523524016,0.0474116165,0.0532825069,0.047369118
ADA,2019-08-11,0.0546915076,0.0517725032,0.0559099536,0.0515624889
ADA,2019-08-12,0.0531166983,0.0546907323,0.0552572445,0.0524709316
ADA,2019-08-13,0.0515714467,0.0531153916,0.0531247107,0.049729312
ADA,2019-08-14,0.0480186306,0.0524867874,0.0535499317,0.0465295989
ADA,2019-08-15,0.0476258604,0.0480218552,0.0481310896,0.0455425298
ADA,2019-08-16,0.0465994285,0.0473942914,0.0475631813,0.0444296164
ADA,2019-08-17,0.0475916819,0.0466031984,0.0480819572,0.0461628072
ADA,2019-08-18,0.0507473322,0.0473901577,0.0512540294,0.0469508512
ADA,2019-08-19,0.0502918908,0.0507479326,0.0508295741,0.0494533331
ADA,2019-08-20,0.0493027292,0.0502975773,0.0506269243,0.0486154493
ADA,2019-08-21,0.0468857379,0.0493097927,0.0494409758,0.0458583236
ADA,2019-08-22,0.0502942353,0.046890045,0.0512872383,0.0466242875
ADA,2019-08-23,0.0496181014,0.0492641339,0.0503647573,0.0488721133
ADA,2019-08-24,0.0503244737,0.0497596494,0.051547064,0.0481613965
ADA,2019-08-25,0.0493511689,0.0503208459,0.0527333472,0.04840125
ADA,2019-08-26,0.0497447131,0.0494656469,0.0509335565,0.0486725017
ADA,2019-08-27,0.0497423227,0.0497326957,0.0498361435,0.0480602958
ADA,2019-08-28,0.0460519023,0.0498493184,0.0503977504,0.0450003032
ADA,2019-08-29,0.0443744748,0.0460515626,0.0462230896,0.0431431839
ADA,2019-08-30,0.0450479891,0.0443680651,0.0460419277,0.044010025
ADA,2019-08-31,0.0451689729,0.0448163559,0.0455359922,0.0437122222
ADA,2019-09-01,0.0447808412,0.0451681008,0.0453218546,0.043567017
ADA,2019-09-02,0.0453855433,0.0447835005,0.0463298171,0.0433583699
ADA,2019-09-03,0.0465280301,0.0453828665,0.0475192403,0.0446517782
ADA,2019-09-04,0.0451927667,0.0465288466,0.0469903642,0.0450094779
ADA,2019-09-05,0.0446192793,0.0451997768,0.0455424515,0.0438632131
ADA,2019-09-06,0.0441688566,0.044620856,0.0447902495,0.0434206802
ADA,2019-09-07,0.0458944633,0.0441632033,0.0466534581,0.043683273
ADA,2019-09-08,0.0466667865,0.0460864,0.0476095765,0.0460229338
ADA,2019-09-09,0.0468263877,0.0466630183,0.0472327622,0.0453284703
ADA,2019-09-10,0.046209422,0.0468264823,0.048173502,0.0456101689
ADA,2019-09-11,0.0450703484,0.0464110221,0.047073382,0.0444265164
ADA,2019-09-12,0.0454113692,0.0450718195,0.0463473126,0.0442699914
ADA,2019-09-13,0.0455393908,0.0454114296,0.0457373279,0.0448937834
ADA,2019-09-14,0.0464484886,0.0455429615,0.0472513724,0.044691077
ADA,2019-09-15,0.0464621282,0.0465310782,0.0472505135,0.046189213
ADA,2019-09-16,0.0471669109,0.0464620861,0.0476452923,0.0457042777
ADA,2019-09-17,0.0492492278,0.0471720816,0.050793361,0.047016009
ADA,2019-09-18,0.0536940126,0.0492526321,0.0556375495,0.0488222252
ADA,2019-09-19,0.0525958012,0.0531322759,0.0546446209,0.0494043883
ADA,2019-09-20,0.0517995091,0.0525971937,0.0526694802,0.0501001022
ADA,2019-09-21,0.0515475389,0.0517995123,0.053403964,0.0511107532
ADA,2019-09-22,0.0488768282,0.051546821,0.0519348345,0.0476336785
ADA,2019-09-23,0.0466966102,0.0488768621,0.0494169754,0.0462307207
ADA,2019-09-24,0.0388391053,0.046674334,0.0469032176,0.0357352478
ADA,2019-09-25,0.0389609813,0.0373961408,0.040392741,0.0359734709
ADA,2019-09-26,0.038116228,0.0389640011,0.0401619781,0.0349598905
ADA,2019-09-27,0.0393413543,0.038123291,0.0398697481,0.0369131358
ADA,2019-09-28,0.0382676569,0.039189376,0.0396421734,0.0380029162
ADA,2019-09-29,0.0375602279,0.0382698893,0.0388361567,0.0360370029
ADA,2019-09-30,0.0383942884,0.0372025891,0.0393656878,0.0359106978
ADA,2019-10-01,0.0385633806,0.038965688,0.0400001189,0.0382076524
ADA,2019-10-02,0.0392447937,0.0385676888,0.0394970423,0.0376985556
ADA,2019-10-03,0.0382185825,0.0392448365,0.0396956616,0.0375288628
ADA,2019-10-04,0.0397601659,0.0382520928,0.0403024383,0.0373946005
ADA,2019-10-05,0.039656995,0.0397600961,0.0398267269,0.0387072519
ADA,2019-10-06,0.0385259036,0.0397064737,0.0400872985,0.0380091712
ADA,2019-10-07,0.0414388764,0.0385301805,0.0419101559,0.0381374566
ADA,2019-10-08,0.0414357383,0.0414390281,0.0422400859,0.0403480531
ADA,2019-10-09,0.0426768653,0.0412542292,0.0434967843,0.0407287404
ADA,2019-10-10,0.0417110358,0.0426769145,0.0427853826,0.0406383098
ADA,2019-10-11,0.0404132895,0.0417123634,0.0424769538,0.0401573519
ADA,2019-10-12,0.0405571195,0.0404132375,0.0409494835,0.0399448262
ADA,2019-10-13,0.0410303376,0.0404099095,0.0417499144,0.0403079995
ADA,2019-10-14,0.0414311426,0.0410302996,0.042026741,0.0407851892
ADA,2019-10-16,0.038538339,0.0395850802,0.0398544746,0.0375294235
ADA,2019-10-17,0.0391264116,0.0385387892,0.0394757289,0.0378566798
ADA,2019-10-18,0.0380112038,0.0391263815,0.039512514,0.0373066945
ADA,2019-10-19,0.0390765379,0.0379820239,0.0395904419,0.0376377766
ADA,2019-10-20,0.0394943516,0.0390780603,0.03956613,0.0381560085
ADA,2019-10-21,0.0391728667,0.0395081701,0.0395288654,0.0384710452
ADA,2019-10-22,0.0387843804,0.0391726969,0.040050194,0.0387152599
ADA,2019-10-23,0.0360067853,0.0385699275,0.0388277379,0.035169208
ADA,2019-10-24,0.0376923043,0.0360066365,0.037985775,0.0359163577
ADA,2019-10-25,0.0411436343,0.0373474067,0.0420727591,0.0372426994
ADA,2019-10-26,0.0402336023,0.0411464109,0.0434399476,0.0392266526
ADA,2019-10-27,0.0424642579,0.0405957407,0.0434659296,0.0395704734
ADA,2019-10-28,0.0431876351,0.042463141,0.0450566124,0.0418392232
ADA,2019-10-29,0.0433803871,0.0422464115,0.0439933216,0.0420639545
ADA,2019-10-30,0.0417988588,0.043382078,0.044554656,0.04111597
ADA,2019-10-31,0.0411160653,0.0418005677,0.0423222924,0.0401233934
ADA,2019-11-01,0.0421059922,0.0411183913,0.0425998778,0.0408861157
ADA,2019-11-02,0.0423334097,0.042172984,0.0426113045,0.0417592705
ADA,2019-11-03,0.0418192487,0.0423337887,0.0425899121,0.0412954829
ADA,2019-11-04,0.0426574422,0.0418176957,0.0435406462,0.0413975745
ADA,2019-11-05,0.0441767696,0.0432474489,0.0448775636,0.0430232377
ADA,2019-11-06,0.0447720997,0.0441747296,0.0460610645,0.0435902479
ADA,2019-11-07,0.0433288542,0.0447706619,0.0449264799,0.0424512767
ADA,2019-11-08,0.0423231479,0.0434008273,0.0437818086,0.0409847653
ADA,2019-11-09,0.0422891744,0.0423247404,0.042756872,0.0419282552
ADA,2019-11-10,0.0437146359,0.0422876053,0.0441672934,0.0422567245
ADA,2019-11-11,0.0433829926,0.0437111055,0.0440207537,0.0422612962
ADA,2019-11-12,0.0435373325,0.0433831291,0.0445043673,0.0428403652
ADA,2019-11-13,0.0432523819,0.0435354752,0.0437708101,0.0427970089
ADA,2019-11-14,0.0426626581,0.0431936559,0.0432686968,0.0419429891
