Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2018-04-04,373.281,404.837,408.69,369.816
ETH,2018-04-05,379.748,375.726,387.716,375.628
ETH,2018-04-06,380.796,380.199,381.437,366.911
ETH,2018-04-07,387.714,381.17,393.059,379.189
ETH,2018-04-08,409.585,387.916,412.393,387.182
ETH,2018-04-09,399.745,409.752,429.251,390.61
ETH,2018-04-10,413.486,399.854,417.725,393.879
ETH,2018-04-11,435.394,413.051,437.166,412.471
ETH,2018-04-12,489.661,435.551,498.335,417.413
ETH,2018-04-13,506.973,489.057,526.47,484.004
ETH,2018-04-14,509.939,507.672,515.239,488.279
ETH,2018-04-15,517.333,510.413,534.197,508.581
ETH,2018-04-16,506.427,517.118,518.303,500.25
ETH,2018-04-17,506.94,507.185,518.031,502.564
ETH,2018-04-18,534.342,506.978,535.63,506.072
ETH,2018-04-19,573.796,534.119,583.994,529.479
ETH,2018-04-20,609.413,574.361,618.715,560.283
ETH,2018-04-21,602.142,608.63,621.888,578.55
ETH,2018-04-22,634.939,601.577,640.767,601.067
ETH,2018-04-23,667.432,634.826,669.105,630.682
ETH,2018-04-24,683.127,667.645,708.875,667.345
ETH,2018-04-25,618.484,678.705,678.705,600.212
ETH,2018-04-26,655.692,618.753,663.181,618.385
ETH,2018-04-27,663.8,655.14,684.868,644.646
ETH,2018-04-28,693.961,665.489,697.756,665.151
ETH,2018-04-29,687.262,694.277,695.386,670.513
ETH,2018-04-30,646.964,686.07,691.233,637.54
ETH,2018-05-01,671.417,645.906,677.109,644.344
ETH,2018-05-02,717.994,672.698,717.994,671.149
ETH,2018-05-03,772.539,718.103,784.341,709.831
ETH,2018-05-04,801.875,772.333,803.746,770.818
ETH,2018-05-05,827.905,801.486,835.057,799.815
ETH,2018-05-06,753.517,827.731,827.731,747.25
ETH,2018-05-07,769.821,754.131,774.249,710.178
ETH,2018-05-08,727.918,770.301,770.812,724.574
ETH,2018-05-09,757.211,725.545,759.793,718.472
ETH,2018-05-10,732.901,756.989,766.748,722.552
ETH,2018-05-11,679.977,732.083,736.977,669.825
ETH,2018-05-12,684.785,679.792,691.411,644.066
ETH,2018-05-13,703.981,685.107,741.312,675.319
ETH,2018-05-14,729.895,705.49,742.17,695.792
ETH,2018-05-15,687.973,729.275,739.052,682.541
ETH,2018-05-16,713.386,687.378,718.833,684.308
ETH,2018-05-17,673.3,713.559,713.941,663.809
ETH,2018-05-18,695.009,673.546,695.594,671.915
ETH,2018-05-19,706.022,695.888,715.578,686.791
ETH,2018-05-20,713.5,704.827,723.753,704.291
ETH,2018-05-21,690.107,713.5,719.278,687.044
ETH,2018-05-22,644.311,690.326,698.403,632.599
ETH,2018-05-23,595.5972994169,644.205,646.095,567.3865106405
ETH,2018-05-24,601.6164346697,595.6055545482,610.818,555.8050753972
ETH,2018-05-25,585.7910357653,601.6164901693,617.186,569.5399996437
ETH,2018-05-26,580.6514361072,585.7622950105,606.175,576.0402940069
ETH,2018-05-27,570.9259435238,580.6512812564,591.4603120445,558.6254361033
ETH,2018-05-28,525.180739867,570.8590320665,575.956,507.8140450374
ETH,2018-05-29,568.5415692916,525.180685639,585.0656840741,514.7569642586
ETH,2018-05-30,562.1821832387,568.541569263,575.3873252326,541.8267639429
ETH,2018-05-31,570.8657402335,579.7141096093,583.9069974537,566.4012732603
ETH,2018-06-01,577.2573642753,576.0752236022,585.5363155886,562.2638804429
ETH,2018-06-02,591.3811228987,576.4815096617,597.747635846,571.2424852751
ETH,2018-06-03,618.302766984,589.8627466326,627.7154530508,589.3547244395
ETH,2018-06-04,591.5490748688,618.2343395883,625.1332385297,579.8021361743
ETH,2018-06-05,607.829422969,591.5490751141,613.9521870515,576.5613802157
ETH,2018-06-11,524.0590803089,511.5615688902,524.8697272945,510.9377794803
ETH,2018-06-12,489.9241163782,530.7786837369,537.6389932638,486.6559693245
