Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2018-12-27,0.5082,0.4549,0.54,0.4523
XTZ,2018-12-28,0.4935,0.5082,0.5265,0.4872
XTZ,2018-12-29,0.4945,0.4935,0.508,0.4736
XTZ,2018-12-30,0.45,0.4945,0.502,0.4419
XTZ,2018-12-31,0.4422,0.45,0.4757,0.441
XTZ,2019-01-01,0.4822,0.4422,0.5479,0.4422
XTZ,2019-01-02,0.471,0.4822,0.4822,0.47
XTZ,2019-01-03,0.4786,0.471,0.4878,0.4603
XTZ,2019-01-04,0.475,0.4786,0.495,0.475
XTZ,2019-01-05,0.488,0.4735,0.5065,0.472
XTZ,2019-01-06,0.4735,0.488,0.543,0.463
XTZ,2019-01-07,0.4942,0.4735,0.5478,0.468
XTZ,2019-01-08,0.5065,0.4942,0.5399,0.4821
XTZ,2019-01-09,0.4412,0.5065,0.515,0.4411
XTZ,2019-01-10,0.445,0.4412,0.4615,0.4411
XTZ,2019-01-11,0.4285,0.445,0.4597,0.4102
XTZ,2019-01-12,0.3978,0.4285,0.4285,0.383
XTZ,2019-01-13,0.4199,0.3978,0.4331,0.3933
XTZ,2019-01-14,0.4014,0.4199,0.4304,0.399
XTZ,2019-01-15,0.4274,0.4014,0.4332,0.4001
XTZ,2019-01-16,0.4242,0.4274,0.431,0.4187
XTZ,2019-01-17,0.4337,0.4242,0.4513,0.4171
XTZ,2019-01-18,0.4358,0.4337,0.47,0.4268
XTZ,2019-01-19,0.4252,0.4358,0.4475,0.4177
XTZ,2019-01-20,0.4322,0.4252,0.4322,0.4043
XTZ,2019-01-21,0.4212,0.4322,0.45,0.4057
XTZ,2019-01-22,0.445,0.4212,0.4454,0.406
XTZ,2019-01-23,0.4444,0.445,0.445,0.413
XTZ,2019-01-24,0.4073,0.4444,0.4444,0.4
XTZ,2019-01-25,0.4,0.4073,0.416,0.4
XTZ,2019-01-26,0.391,0.4,0.4029,0.391
XTZ,2019-01-27,0.37,0.391,0.399,0.32
XTZ,2019-01-28,0.3643,0.37,0.3812,0.3553
XTZ,2019-01-29,0.3747,0.3643,0.3993,0.3626
XTZ,2019-01-30,0.3748,0.3747,0.39,0.3691
